request_id,version_id,client_id,delivery_point_id,request_date,deadline,status,actual_completion,priority,file_size_gb
DELIVERY_000035,VER_TITLE_002872_003,CLIENT_00111,DP_00111,2026-03-03T22:32:45.909206,2026-03-24T22:32:45.909206,Failed,,Low,236.88
DELIVERY_000036,VER_TITLE_000852_000,CLIENT_00038,DP_00089,2026-02-26T22:32:45.909858,2026-03-03T22:32:45.909858,Failed,,Low,453.53
DELIVERY_000037,VER_TITLE_004187_002,CLIENT_00050,DP_00062,2026-05-03T22:32:45.910649,2026-05-24T22:32:45.910649,Delayed,,High,174.38
DELIVERY_000038,VER_TITLE_001950_003,CLIENT_00147,DP_00083,2026-03-23T22:32:45.911329,2026-04-06T22:32:45.911329,Delayed,,Low,208.22
DELIVERY_000039,VER_TITLE_004315_001,CLIENT_00174,DP_00096,2026-04-04T22:32:45.911963,2026-04-20T22:32:45.911963,Completed,2026-05-22T22:32:45.911980,Medium,144.79
DELIVERY_000040,VER_TITLE_002857_000,CLIENT_00153,DP_00076,2026-03-25T22:32:45.912700,2026-04-03T22:32:45.912700,In Progress,,Low,438.17
DELIVERY_000041,VER_TITLE_003825_004,CLIENT_00188,DP_00066,2026-03-30T22:32:45.913445,2026-04-15T22:32:45.913445,Failed,,Low,286.12
DELIVERY_000042,VER_TITLE_000755_001,CLIENT_00099,DP_00110,2026-05-12T22:32:45.914088,2026-05-24T22:32:45.914088,Completed,2026-05-15T22:32:45.914103,Urgent,247.15
DELIVERY_000043,VER_TITLE_001968_002,CLIENT_00040,DP_00062,2026-04-15T22:32:45.914809,2026-04-26T22:32:45.914809,Pending,,High,163.2
DELIVERY_000044,VER_TITLE_002484_002,CLIENT_00011,DP_00022,2026-03-30T22:32:45.915503,2026-04-17T22:32:45.915503,Completed,2026-05-16T22:32:45.915521,Medium,126.21
DELIVERY_000045,VER_TITLE_004348_002,CLIENT_00000,DP_00127,2026-03-30T22:32:45.916299,2026-04-25T22:32:45.916299,Completed,2026-05-13T22:32:45.916318,Medium,274.42
DELIVERY_000046,VER_TITLE_002656_000,CLIENT_00079,DP_00050,2026-03-31T22:32:45.917431,2026-04-26T22:32:45.917431,In Progress,,High,79.74
DELIVERY_000047,VER_TITLE_003268_001,CLIENT_00184,DP_00032,2026-04-08T22:32:45.918157,2026-04-26T22:32:45.918157,Failed,,Low,25.42
DELIVERY_000048,VER_TITLE_003944_001,CLIENT_00188,DP_00084,2026-05-16T22:32:45.918992,2026-06-09T22:32:45.918992,In Progress,,Low,255.68
DELIVERY_000049,VER_TITLE_003684_001,CLIENT_00173,DP_00118,2026-04-05T22:32:45.919800,2026-04-25T22:32:45.919800,In Progress,,Low,271.62
DELIVERY_000050,VER_TITLE_000870_001,CLIENT_00136,DP_00027,2026-02-27T22:32:45.920607,2026-03-16T22:32:45.920607,Delayed,,Medium,60.43
DELIVERY_000051,VER_TITLE_003694_000,CLIENT_00143,DP_00092,2026-05-03T22:32:45.921504,2026-05-31T22:32:45.921504,Completed,2026-05-15T22:32:45.921528,Urgent,156.01
DELIVERY_000052,VER_TITLE_002025_001,CLIENT_00054,DP_00012,2026-04-23T22:32:45.922311,2026-05-17T22:32:45.922311,Pending,,Low,444.98
DELIVERY_000053,VER_TITLE_004500_000,CLIENT_00113,DP_00002,2026-04-27T22:32:45.923028,2026-05-09T22:32:45.923028,Delayed,,High,371.02
DELIVERY_000054,VER_TITLE_004734_002,CLIENT_00082,DP_00093,2026-04-05T22:32:45.923672,2026-04-25T22:32:45.923672,Pending,,Low,470.77
DELIVERY_000055,VER_TITLE_000422_000,CLIENT_00140,DP_00081,2026-03-05T22:32:45.924293,2026-04-03T22:32:45.924293,Completed,2026-05-16T22:32:45.924330,Urgent,326.93
DELIVERY_000056,VER_TITLE_003620_002,CLIENT_00047,DP_00015,2026-04-07T22:32:45.925215,2026-04-26T22:32:45.925215,Pending,,Medium,392.68
DELIVERY_000057,VER_TITLE_001161_004,CLIENT_00170,DP_00136,2026-05-04T22:32:45.925882,2026-05-27T22:32:45.925882,Delayed,,High,367.98
DELIVERY_000058,VER_TITLE_001758_001,CLIENT_00075,DP_00141,2026-04-26T22:32:45.926546,2026-05-20T22:32:45.926546,Delayed,,Low,77.73
DELIVERY_000059,VER_TITLE_004122_001,CLIENT_00109,DP_00122,2026-05-13T22:32:45.927207,2026-05-31T22:32:45.927207,Failed,,Low,377.92
DELIVERY_000060,VER_TITLE_003560_001,CLIENT_00001,DP_00065,2026-05-02T22:32:45.927962,2026-05-24T22:32:45.927962,Completed,2026-05-21T22:32:45.927980,Low,113.64
DELIVERY_000061,VER_TITLE_002412_005,CLIENT_00116,DP_00019,2026-05-10T22:32:45.928741,2026-06-03T22:32:45.928741,In Progress,,Low,389.86
DELIVERY_000062,VER_TITLE_000772_002,CLIENT_00104,DP_00146,2026-04-25T22:32:45.929515,2026-05-22T22:32:45.929515,In Progress,,High,477.72
DELIVERY_000063,VER_TITLE_002653_000,CLIENT_00056,DP_00006,2026-03-01T22:32:45.930277,2026-03-17T22:32:45.930277,Failed,,High,334.62
DELIVERY_000064,VER_TITLE_002866_004,CLIENT_00156,DP_00005,2026-05-12T22:32:45.931035,2026-06-11T22:32:45.931035,In Progress,,Medium,337.05
DELIVERY_000065,VER_TITLE_002055_001,CLIENT_00123,DP_00115,2026-04-18T22:32:45.931777,2026-05-14T22:32:45.931777,In Progress,,High,237.35
DELIVERY_000066,VER_TITLE_004279_002,CLIENT_00181,DP_00048,2026-03-18T22:32:45.932525,2026-03-31T22:32:45.932525,In Progress,,Low,491.7
DELIVERY_000067,VER_TITLE_003755_000,CLIENT_00169,DP_00055,2026-04-07T22:32:45.933261,2026-05-04T22:32:45.933261,In Progress,,High,290.28
DELIVERY_000068,VER_TITLE_003233_003,CLIENT_00103,DP_00004,2026-03-12T22:32:45.933979,2026-03-18T22:32:45.933979,In Progress,,Low,266.76
DELIVERY_000069,VER_TITLE_004173_002,CLIENT_00160,DP_00062,2026-05-12T22:32:45.934767,2026-06-02T22:32:45.934767,In Progress,,Urgent,97.97
DELIVERY_000070,VER_TITLE_001559_002,CLIENT_00015,DP_00125,2026-03-24T22:32:45.935923,2026-04-04T22:32:45.935923,In Progress,,Urgent,48.0
DELIVERY_000071,VER_TITLE_000092_003,CLIENT_00041,DP_00004,2026-04-03T22:32:45.936754,2026-04-18T22:32:45.936754,Completed,2026-05-18T22:32:45.936775,High,90.17
DELIVERY_000072,VER_TITLE_002578_000,CLIENT_00076,DP_00089,2026-04-08T22:32:45.937487,2026-05-07T22:32:45.937487,Delayed,,Low,181.54
DELIVERY_000073,VER_TITLE_004472_002,CLIENT_00056,DP_00141,2026-02-24T22:32:45.938126,2026-03-07T22:32:45.938126,Completed,2026-05-22T22:32:45.938142,Urgent,293.92
DELIVERY_000074,VER_TITLE_002223_002,CLIENT_00002,DP_00121,2026-03-27T22:32:45.938812,2026-04-13T22:32:45.938812,Completed,2026-05-22T22:32:45.938829,Low,228.37
DELIVERY_000075,VER_TITLE_001826_001,CLIENT_00038,DP_00100,2026-04-19T22:32:45.939507,2026-04-24T22:32:45.939507,Pending,,Medium,256.44
DELIVERY_000076,VER_TITLE_004150_000,CLIENT_00080,DP_00150,2026-05-17T22:32:45.940215,2026-06-05T22:32:45.940215,In Progress,,High,385.84
DELIVERY_000077,VER_TITLE_003202_004,CLIENT_00024,DP_00052,2026-04-17T22:32:45.940869,2026-04-28T22:32:45.940869,Failed,,Urgent,133.27
DELIVERY_000078,VER_TITLE_004720_002,CLIENT_00002,DP_00115,2026-05-16T22:32:45.941572,2026-05-31T22:32:45.941572,Pending,,Urgent,162.41
DELIVERY_000079,VER_TITLE_002351_003,CLIENT_00109,DP_00044,2026-03-30T22:32:45.942210,2026-04-07T22:32:45.942210,Pending,,High,166.52
DELIVERY_000080,VER_TITLE_000020_004,CLIENT_00097,DP_00015,2026-03-10T22:32:45.942850,2026-03-17T22:32:45.942850,Pending,,Urgent,397.57
DELIVERY_000081,VER_TITLE_000556_003,CLIENT_00093,DP_00082,2026-05-10T22:32:45.943553,2026-05-27T22:32:45.943553,Pending,,Low,272.85
DELIVERY_000082,VER_TITLE_002706_004,CLIENT_00031,DP_00148,2026-04-20T22:32:45.944200,2026-04-28T22:32:45.944200,In Progress,,High,479.16
DELIVERY_000083,VER_TITLE_004907_004,CLIENT_00181,DP_00029,2026-04-18T22:32:45.944818,2026-05-14T22:32:45.944818,Completed,2026-05-14T22:32:45.944835,High,449.44
DELIVERY_000084,VER_TITLE_002248_002,CLIENT_00166,DP_00127,2026-05-03T22:32:45.945538,2026-05-14T22:32:45.945538,Completed,2026-05-21T22:32:45.945556,High,364.55
DELIVERY_000085,VER_TITLE_004000_004,CLIENT_00172,DP_00012,2026-04-16T22:32:45.946283,2026-05-11T22:32:45.946283,Pending,,Urgent,208.91
DELIVERY_000086,VER_TITLE_003006_000,CLIENT_00148,DP_00040,2026-04-15T22:32:45.946903,2026-04-30T22:32:45.946903,Failed,,Urgent,106.78
DELIVERY_000087,VER_TITLE_001448_004,CLIENT_00053,DP_00066,2026-04-21T22:32:45.947612,2026-04-30T22:32:45.947612,Failed,,Low,198.42
DELIVERY_000088,VER_TITLE_003929_001,CLIENT_00021,DP_00065,2026-03-28T22:32:45.948279,2026-04-26T22:32:45.948279,Failed,,High,82.18
DELIVERY_000089,VER_TITLE_004013_000,CLIENT_00093,DP_00097,2026-05-21T22:32:45.948916,2026-05-26T22:32:45.948916,Completed,2026-05-20T22:32:45.948934,Medium,191.79
DELIVERY_000090,VER_TITLE_001552_005,CLIENT_00031,DP_00066,2026-02-26T22:32:45.949714,2026-03-03T22:32:45.949714,Failed,,Medium,493.32
DELIVERY_000091,VER_TITLE_004118_001,CLIENT_00016,DP_00114,2026-04-02T22:32:45.950382,2026-04-12T22:32:45.950382,Delayed,,High,39.08
DELIVERY_000092,VER_TITLE_003193_004,CLIENT_00078,DP_00003,2026-04-22T22:32:45.951035,2026-05-15T22:32:45.951035,Pending,,Medium,286.84
DELIVERY_000093,VER_TITLE_001430_000,CLIENT_00117,DP_00123,2026-03-07T22:32:45.952043,2026-03-28T22:32:45.952043,Pending,,Low,108.3
DELIVERY_000094,VER_TITLE_001469_003,CLIENT_00198,DP_00122,2026-05-20T22:32:45.952843,2026-06-04T22:32:45.952843,Completed,2026-05-20T22:32:45.952866,Low,493.61
DELIVERY_000095,VER_TITLE_001663_001,CLIENT_00071,DP_00097,2026-03-29T22:32:45.953544,2026-04-10T22:32:45.953544,In Progress,,High,433.11
DELIVERY_000096,VER_TITLE_002860_001,CLIENT_00143,DP_00150,2026-04-20T22:32:45.954274,2026-05-19T22:32:45.954274,Pending,,Low,92.31
DELIVERY_000097,VER_TITLE_002434_004,CLIENT_00040,DP_00053,2026-03-11T22:32:45.954939,2026-03-20T22:32:45.954939,In Progress,,Medium,381.94
DELIVERY_000098,VER_TITLE_003746_001,CLIENT_00134,DP_00031,2026-03-29T22:32:45.955648,2026-04-03T22:32:45.955648,Pending,,Urgent,145.17
DELIVERY_000099,VER_TITLE_002218_003,CLIENT_00114,DP_00023,2026-05-19T22:32:45.956413,2026-06-02T22:32:45.956413,Delayed,,Medium,402.93
DELIVERY_000100,VER_TITLE_001462_001,CLIENT_00104,DP_00056,2026-03-26T22:32:45.957073,2026-04-20T22:32:45.957073,Failed,,High,454.28
DELIVERY_000101,VER_TITLE_002314_004,CLIENT_00095,DP_00117,2026-04-01T22:32:45.957788,2026-04-16T22:32:45.957788,In Progress,,Medium,300.19
DELIVERY_000102,VER_TITLE_004184_001,CLIENT_00060,DP_00126,2026-04-20T22:32:45.958472,2026-04-26T22:32:45.958472,Completed,2026-05-15T22:32:45.958490,Medium,487.42
DELIVERY_000103,VER_TITLE_001847_000,CLIENT_00014,DP_00051,2026-03-04T22:32:45.959103,2026-03-16T22:32:45.959103,Failed,,High,414.25
DELIVERY_000104,VER_TITLE_003974_001,CLIENT_00105,DP_00126,2026-04-13T22:32:45.959787,2026-05-06T22:32:45.959787,Completed,2026-05-20T22:32:45.959806,Low,60.44
DELIVERY_000105,VER_TITLE_003978_004,CLIENT_00135,DP_00014,2026-03-06T22:32:45.960466,2026-04-05T22:32:45.960466,Delayed,,Medium,46.03
DELIVERY_000106,VER_TITLE_003695_000,CLIENT_00100,DP_00125,2026-02-23T22:32:45.961094,2026-03-12T22:32:45.961094,Completed,2026-05-20T22:32:45.961111,Urgent,439.47
DELIVERY_000107,VER_TITLE_000531_000,CLIENT_00132,DP_00099,2026-05-16T22:32:45.961763,2026-06-14T22:32:45.961763,Pending,,Medium,385.23
DELIVERY_000108,VER_TITLE_000345_004,CLIENT_00094,DP_00106,2026-04-15T22:32:45.962487,2026-04-24T22:32:45.962487,Pending,,Medium,477.77
DELIVERY_000109,VER_TITLE_001164_002,CLIENT_00134,DP_00096,2026-04-19T22:32:45.963130,2026-05-09T22:32:45.963130,In Progress,,Medium,498.0
DELIVERY_000110,VER_TITLE_002766_001,CLIENT_00166,DP_00042,2026-04-03T22:32:45.963797,2026-04-08T22:32:45.963797,In Progress,,Low,12.84
DELIVERY_000111,VER_TITLE_001569_001,CLIENT_00010,DP_00111,2026-03-03T22:32:45.964481,2026-03-26T22:32:45.964481,Completed,2026-05-17T22:32:45.964500,Medium,136.94
DELIVERY_000112,VER_TITLE_002378_001,CLIENT_00071,DP_00141,2026-04-21T22:32:45.965164,2026-04-26T22:32:45.965164,Pending,,Urgent,30.66
DELIVERY_000113,VER_TITLE_001572_000,CLIENT_00088,DP_00137,2026-04-22T22:32:45.965987,2026-05-10T22:32:45.965987,Pending,,High,115.21
DELIVERY_000114,VER_TITLE_001841_000,CLIENT_00152,DP_00086,2026-05-13T22:32:45.966777,2026-05-20T22:32:45.966777,Pending,,Low,251.14
DELIVERY_000115,VER_TITLE_004100_002,CLIENT_00127,DP_00009,2026-03-09T22:32:45.967408,2026-04-01T22:32:45.967408,Pending,,Low,486.17
DELIVERY_000116,VER_TITLE_001959_005,CLIENT_00174,DP_00082,2026-03-11T22:32:45.968653,2026-03-27T22:32:45.968653,Delayed,,Medium,85.47
DELIVERY_000117,VER_TITLE_004456_003,CLIENT_00021,DP_00026,2026-03-12T22:32:45.969467,2026-04-02T22:32:45.969467,In Progress,,Low,156.03
DELIVERY_000118,VER_TITLE_003708_003,CLIENT_00052,DP_00107,2026-04-30T22:32:45.970196,2026-05-22T22:32:45.970196,In Progress,,Low,25.19
DELIVERY_000119,VER_TITLE_001217_004,CLIENT_00070,DP_00081,2026-03-28T22:32:45.970897,2026-04-22T22:32:45.970897,Failed,,Low,241.08
DELIVERY_000120,VER_TITLE_001504_001,CLIENT_00097,DP_00119,2026-04-22T22:32:45.971516,2026-05-09T22:32:45.971516,Completed,2026-05-19T22:32:45.971531,Medium,165.94
DELIVERY_000121,VER_TITLE_001724_004,CLIENT_00031,DP_00042,2026-03-01T22:32:45.972259,2026-03-11T22:32:45.972259,Completed,2026-05-14T22:32:45.972277,Urgent,200.92
DELIVERY_000122,VER_TITLE_004720_003,CLIENT_00191,DP_00120,2026-04-01T22:32:45.972935,2026-05-01T22:32:45.972935,Completed,2026-05-14T22:32:45.972951,Urgent,367.6
DELIVERY_000123,VER_TITLE_003275_000,CLIENT_00178,DP_00080,2026-05-13T22:32:45.973572,2026-06-02T22:32:45.973572,Pending,,Medium,365.44
DELIVERY_000124,VER_TITLE_004568_000,CLIENT_00099,DP_00090,2026-05-21T22:32:45.974288,2026-06-11T22:32:45.974288,Delayed,,Urgent,449.09
DELIVERY_000125,VER_TITLE_001148_005,CLIENT_00185,DP_00103,2026-03-14T22:32:45.974950,2026-03-31T22:32:45.974950,Completed,2026-05-21T22:32:45.974967,Urgent,431.11
DELIVERY_000126,VER_TITLE_002749_001,CLIENT_00040,DP_00038,2026-03-29T22:32:45.975566,2026-04-24T22:32:45.975566,In Progress,,Urgent,169.93
DELIVERY_000127,VER_TITLE_002163_003,CLIENT_00086,DP_00149,2026-03-14T22:32:45.976356,2026-03-19T22:32:45.976356,Delayed,,High,58.86
DELIVERY_000128,VER_TITLE_001250_002,CLIENT_00148,DP_00127,2026-03-29T22:32:45.977045,2026-04-05T22:32:45.977045,Failed,,Low,431.83
DELIVERY_000129,VER_TITLE_001079_002,CLIENT_00064,DP_00142,2026-03-19T22:32:45.977685,2026-04-18T22:32:45.977685,In Progress,,Medium,67.75
DELIVERY_000130,VER_TITLE_003061_000,CLIENT_00190,DP_00032,2026-05-07T22:32:45.978417,2026-05-13T22:32:45.978417,Failed,,High,383.73
DELIVERY_000131,VER_TITLE_004069_001,CLIENT_00175,DP_00005,2026-03-08T22:32:45.979057,2026-03-29T22:32:45.979057,In Progress,,Medium,285.81
DELIVERY_000132,VER_TITLE_002952_003,CLIENT_00106,DP_00044,2026-05-19T22:32:45.979722,2026-06-05T22:32:45.979722,Failed,,Low,24.14
DELIVERY_000133,VER_TITLE_002690_000,CLIENT_00009,DP_00147,2026-03-24T22:32:45.980521,2026-04-10T22:32:45.980521,In Progress,,Urgent,52.39
DELIVERY_000134,VER_TITLE_003902_000,CLIENT_00095,DP_00125,2026-05-17T22:32:45.981195,2026-05-22T22:32:45.981195,Completed,2026-05-19T22:32:45.981213,Urgent,391.74
DELIVERY_000135,VER_TITLE_001383_002,CLIENT_00041,DP_00067,2026-02-27T22:32:45.981870,2026-03-11T22:32:45.981870,Delayed,,High,311.25
DELIVERY_000136,VER_TITLE_003484_001,CLIENT_00105,DP_00061,2026-04-29T22:32:45.982821,2026-05-15T22:32:45.982821,Pending,,Medium,479.91
DELIVERY_000137,VER_TITLE_004753_004,CLIENT_00155,DP_00120,2026-03-09T22:32:45.983454,2026-03-17T22:32:45.983454,In Progress,,Urgent,145.4
DELIVERY_000138,VER_TITLE_004188_000,CLIENT_00069,DP_00141,2026-03-23T22:32:45.984114,2026-04-06T22:32:45.984114,Pending,,Urgent,89.0
DELIVERY_000139,VER_TITLE_000180_001,CLIENT_00181,DP_00141,2026-04-30T22:32:45.984833,2026-05-17T22:32:45.984833,Failed,,Medium,445.15
DELIVERY_000140,VER_TITLE_002752_000,CLIENT_00099,DP_00070,2026-04-19T22:32:45.985459,2026-05-13T22:32:45.985459,Pending,,Low,388.12
DELIVERY_000141,VER_TITLE_003255_001,CLIENT_00127,DP_00080,2026-03-24T22:32:45.986154,2026-04-05T22:32:45.986154,In Progress,,Urgent,49.96
DELIVERY_000142,VER_TITLE_001592_001,CLIENT_00121,DP_00014,2026-02-27T22:32:45.986877,2026-03-11T22:32:45.986877,In Progress,,Low,274.9
DELIVERY_000143,VER_TITLE_001655_002,CLIENT_00108,DP_00023,2026-04-01T22:32:45.987507,2026-04-16T22:32:45.987507,Failed,,Urgent,468.41
DELIVERY_000144,VER_TITLE_003968_001,CLIENT_00108,DP_00061,2026-04-15T22:32:45.988186,2026-05-02T22:32:45.988186,Failed,,High,223.19
DELIVERY_000145,VER_TITLE_004744_005,CLIENT_00166,DP_00019,2026-04-27T22:32:45.989093,2026-05-19T22:32:45.989093,Delayed,,High,245.99
DELIVERY_000146,VER_TITLE_004221_003,CLIENT_00198,DP_00048,2026-03-22T22:32:45.989754,2026-03-27T22:32:45.989754,Pending,,Urgent,164.64
DELIVERY_000147,VER_TITLE_003921_000,CLIENT_00074,DP_00116,2026-04-04T22:32:45.990389,2026-04-18T22:32:45.990389,Completed,2026-05-15T22:32:45.990407,Low,354.04
DELIVERY_000148,VER_TITLE_004567_001,CLIENT_00168,DP_00146,2026-02-28T22:32:45.992245,2026-03-20T22:32:45.992245,Failed,,Urgent,118.89
DELIVERY_000149,VER_TITLE_000271_002,CLIENT_00123,DP_00053,2026-04-10T22:32:45.993243,2026-05-01T22:32:45.993243,In Progress,,Low,296.11
DELIVERY_000150,VER_TITLE_004067_002,CLIENT_00044,DP_00150,2026-03-09T22:32:45.993970,2026-03-19T22:32:45.993970,Completed,2026-05-16T22:32:45.993987,Urgent,355.79
DELIVERY_000151,VER_TITLE_003152_000,CLIENT_00102,DP_00080,2026-04-15T22:32:45.994678,2026-05-04T22:32:45.994678,Completed,2026-05-19T22:32:45.994698,Urgent,488.61
DELIVERY_000152,VER_TITLE_004185_000,CLIENT_00127,DP_00046,2026-03-09T22:32:45.995438,2026-03-16T22:32:45.995438,In Progress,,Medium,299.57
DELIVERY_000153,VER_TITLE_001682_002,CLIENT_00159,DP_00061,2026-03-29T22:32:45.996127,2026-04-19T22:32:45.996127,Failed,,Low,397.83
DELIVERY_000154,VER_TITLE_000676_000,CLIENT_00149,DP_00097,2026-03-11T22:32:45.996852,2026-03-30T22:32:45.996852,Pending,,Low,85.68
DELIVERY_000155,VER_TITLE_003035_004,CLIENT_00056,DP_00020,2026-04-28T22:32:45.997499,2026-05-06T22:32:45.997499,Completed,2026-05-14T22:32:45.997518,Low,421.17
DELIVERY_000156,VER_TITLE_000446_001,CLIENT_00088,DP_00106,2026-03-01T22:32:45.998155,2026-03-13T22:32:45.998155,Failed,,Low,162.87
DELIVERY_000157,VER_TITLE_002249_001,CLIENT_00029,DP_00071,2026-04-08T22:32:45.998975,2026-05-03T22:32:45.998975,Failed,,Medium,284.9
DELIVERY_000158,VER_TITLE_001617_000,CLIENT_00175,DP_00098,2026-04-26T22:32:45.999658,2026-05-07T22:32:45.999658,In Progress,,High,284.68
DELIVERY_000159,VER_TITLE_002772_002,CLIENT_00015,DP_00072,2026-05-11T22:32:46.000295,2026-05-23T22:32:46.000295,Completed,2026-05-19T22:32:46.000310,Low,87.75
DELIVERY_000160,VER_TITLE_001798_001,CLIENT_00152,DP_00066,2026-04-04T22:32:46.001044,2026-04-15T22:32:46.001044,Delayed,,Low,260.99
DELIVERY_000161,VER_TITLE_002936_002,CLIENT_00015,DP_00023,2026-04-07T22:32:46.001730,2026-04-19T22:32:46.001730,Failed,,High,156.26
