spec_id,delivery_point_id,version_id,required_resolution,required_audio,required_hdr,required_container,max_bitrate_mbps,is_mandatory
ff3892ed-cd4e-4ae5-a88e-de5193cf7f3b,DP_00003,VER_TITLE_001604_004,8K,Atmos,Dolby Vision,MKV,26,False
06d5dd16-a7ac-4c3d-b1ce-69fa49c5a0b3,DP_00004,VER_TITLE_000269_000,8K,7.1,HDR10,MXF,15,True
a515b012-765b-40c2-8f6c-4296592e1f08,DP_00004,VER_TITLE_002046_002,8K,5.1,HDR10+,MXF,44,True
14206b6a-03b6-430e-8fd0-97c1e8b99d23,DP_00005,VER_TITLE_000989_000,8K,5.1,HDR10+,MKV,43,True
96cb91e2-bbcc-43b3-ba8e-012528a0b7db,DP_00005,VER_TITLE_000478_001,HD,5.1,HDR10+,MXF,16,True
96881840-306b-42b7-bbbd-aa07a90cf4e1,DP_00005,VER_TITLE_000870_002,8K,5.1,HDR10+,MXF,13,False
35fd21a2-3d4b-414b-aa6b-e52b6820febd,DP_00005,VER_TITLE_001084_003,4K,Atmos,HDR10,MKV,45,True
10f08793-1115-4d2c-9ce9-1cadf6545823,DP_00005,VER_TITLE_003404_003,HD,7.1,HDR10+,MXF,29,True
c5da304d-ba01-4b68-a8b5-46917cea2e55,DP_00006,VER_TITLE_003891_001,8K,5.1,HDR10,MP4,47,True
3fc63d52-2dfa-4132-94df-5ab5d1e2b5cf,DP_00006,VER_TITLE_002185_000,HD,Atmos,HDR10,MXF,8,True
89e3b5b6-1596-43b8-8a24-17e8c51a5dbe,DP_00006,VER_TITLE_000282_005,8K,Atmos,HDR10+,MKV,45,True
46afaa51-7821-452d-b2ab-cb5602c43651,DP_00007,VER_TITLE_001825_003,8K,7.1,Dolby Vision,IMF,5,True
7a5dc8aa-1067-4534-896a-38b5e4327c3c,DP_00007,VER_TITLE_004102_003,8K,2.0,HDR10+,IMF,36,True
05bdfd1a-f322-402f-afc7-34873b367e9f,DP_00007,VER_TITLE_002409_000,HD,7.1,HDR10+,MKV,11,True
ad6e8d47-5dbb-4eec-bb81-fc9831dc2328,DP_00007,VER_TITLE_004010_002,8K,7.1,Dolby Vision,IMF,24,True
d76b9d28-eaf9-48a2-a233-17a33267e894,DP_00007,VER_TITLE_001205_000,8K,2.0,HDR10,MXF,19,True
ac24ad44-fab7-4f3b-a07d-8775f0188510,DP_00008,VER_TITLE_004170_000,4K,5.1,SDR,MKV,26,True
ed0af7c1-b766-4d00-864f-c183cc51a2db,DP_00008,VER_TITLE_002550_003,HD,Atmos,SDR,MKV,26,True
224ec15e-7e84-46c2-bfc1-a19c29a1fa11,DP_00008,VER_TITLE_003423_001,HD,2.0,HDR10+,MXF,19,False
a977adf7-1aca-4d00-a969-fa848893a4fd,DP_00008,VER_TITLE_002585_000,8K,5.1,HDR10,MKV,24,False
004a21fa-385d-42e5-b58c-359400a7b763,DP_00008,VER_TITLE_002735_000,8K,2.0,HDR10,MP4,7,True
e71f0f4f-d95d-4b23-b749-16d3f8e0062f,DP_00009,VER_TITLE_004423_003,HD,5.1,HDR10+,MP4,30,True
4e1eaa9b-58b4-4fe2-a9e8-9bafd3c2d883,DP_00009,VER_TITLE_003036_002,HD,2.0,HDR10,MP4,32,True
9ee95504-2495-45aa-8180-7885bd75f200,DP_00009,VER_TITLE_003467_003,HD,5.1,Dolby Vision,IMF,18,True
f605cc2e-2d18-4d7d-b17b-c888e05bb581,DP_00010,VER_TITLE_000140_001,4K,5.1,HDR10,IMF,32,False
db7d6f93-2c61-474c-a4fa-ddef3fafcd99,DP_00010,VER_TITLE_002615_004,8K,2.0,Dolby Vision,MKV,41,False
39b0356c-ca00-4243-890f-2f8236618926,DP_00010,VER_TITLE_004587_003,HD,5.1,HDR10,MXF,16,True
74605742-1ce3-44ec-bb32-f49d8c5baf61,DP_00011,VER_TITLE_001977_002,HD,7.1,HDR10+,MKV,42,True
6cfe5627-b90e-461a-9a94-138b2d7e1ccf,DP_00011,VER_TITLE_000203_003,HD,2.0,HDR10,MXF,11,True
6938bd0b-1584-47e4-81db-f2d114dd57e2,DP_00011,VER_TITLE_002782_005,4K,2.0,Dolby Vision,MXF,28,True
e624da90-3c93-4869-a32f-bf2b39496b40,DP_00012,VER_TITLE_002931_001,HD,Atmos,HDR10+,MP4,33,True
2e4bce97-e400-4e58-b750-8d7d495fe8c3,DP_00012,VER_TITLE_003493_002,8K,7.1,SDR,IMF,9,True
fdb74408-bb7e-46d1-a9b0-197b805acc9b,DP_00013,VER_TITLE_004276_000,8K,2.0,Dolby Vision,MKV,27,True
a1cfc99e-479d-4262-9413-29ba36206e02,DP_00013,VER_TITLE_000270_000,8K,7.1,HDR10+,IMF,13,False
457d93e1-3664-48bc-8287-4b2f908b61c7,DP_00013,VER_TITLE_001823_001,HD,2.0,Dolby Vision,IMF,26,True
1f1a2428-062e-4387-8dfc-ff567503afc8,DP_00013,VER_TITLE_003257_002,8K,2.0,SDR,MXF,22,True
0742f7de-4b19-487a-adba-51004e116889,DP_00013,VER_TITLE_003752_004,4K,Atmos,Dolby Vision,MXF,40,False
e2a57921-4ac2-497d-8d3a-aeb29d688409,DP_00013,VER_TITLE_004577_001,4K,5.1,SDR,MXF,19,False
ba871edd-5fb4-447d-afab-682f2a1b1192,DP_00014,VER_TITLE_002777_000,4K,5.1,Dolby Vision,MXF,46,True
73ef70dd-5658-4ddb-9017-0221dabb60ff,DP_00014,VER_TITLE_003688_002,8K,5.1,SDR,MKV,10,False
f298129e-db96-485e-8561-c5d52df16043,DP_00015,VER_TITLE_000570_002,HD,Atmos,HDR10+,MKV,27,False
cbf02719-1465-4ce9-b411-3fd9ecee12ac,DP_00015,VER_TITLE_002538_000,8K,5.1,Dolby Vision,MXF,6,False
22fa400f-2e32-4164-b1d0-fb675b7763f7,DP_00015,VER_TITLE_000356_004,4K,Atmos,SDR,MKV,36,False
6b56a940-1ecb-46de-ad0f-f40a26c4a21e,DP_00015,VER_TITLE_003675_000,4K,7.1,Dolby Vision,MKV,28,False
e3edc8c9-162e-40fc-9b71-6c29f58f1285,DP_00015,VER_TITLE_003096_001,HD,Atmos,SDR,MXF,6,True
ffbfc592-62a0-4d99-9ebd-b6def061189f,DP_00016,VER_TITLE_001179_001,4K,2.0,Dolby Vision,MKV,17,True
97a37ebf-d034-4e65-9eca-d766bcf05b9d,DP_00016,VER_TITLE_002473_000,4K,2.0,HDR10+,MXF,19,True
63fbe5d1-6341-4a52-b706-a881da8a0a66,DP_00016,VER_TITLE_002936_001,HD,5.1,SDR,MP4,9,False
41cd9da8-022d-4f89-93a0-3c071ba09d60,DP_00017,VER_TITLE_003283_002,8K,7.1,Dolby Vision,MXF,23,True
85f0b244-493e-4250-8fb6-640b8af3d115,DP_00017,VER_TITLE_002164_002,4K,2.0,Dolby Vision,IMF,46,False
f41f61b8-9521-4835-82f0-1b0539119dba,DP_00017,VER_TITLE_001813_000,8K,Atmos,HDR10,IMF,44,True
da130684-98c2-473f-8a6e-356e754efb35,DP_00018,VER_TITLE_000813_000,HD,7.1,Dolby Vision,MP4,13,False
b874ef11-a836-4aee-9dd0-e0fb77f791e2,DP_00018,VER_TITLE_003102_002,8K,5.1,SDR,MP4,34,False
26847632-d2fd-4607-9229-a7024fa2a69c,DP_00018,VER_TITLE_004114_003,HD,2.0,SDR,IMF,29,False
664b1ddd-1a78-4b78-a707-14c4f8b1a41e,DP_00018,VER_TITLE_003554_004,8K,Atmos,SDR,IMF,31,False
7e99f22c-99d4-4981-9f59-8bd635a40b75,DP_00018,VER_TITLE_002539_002,8K,Atmos,Dolby Vision,MKV,39,True
bd48438e-c7cf-4b9b-9967-4093848c3e43,DP_00018,VER_TITLE_000347_003,HD,5.1,HDR10+,MXF,27,True
92248f6b-b5f7-404d-ab9e-93d7969a9666,DP_00019,VER_TITLE_000761_002,8K,5.1,HDR10+,MP4,5,False
41976d4c-d70a-464a-92a3-8e7ed9382ee9,DP_00019,VER_TITLE_001055_005,4K,7.1,Dolby Vision,IMF,37,False
ff30b501-1930-4470-9c7a-fa6e193b37b0,DP_00019,VER_TITLE_004629_005,HD,Atmos,SDR,IMF,25,False
11025b6c-d091-4903-bdd7-cec29812f8a3,DP_00019,VER_TITLE_004539_001,8K,2.0,HDR10,MXF,17,True
2a92f2b0-ecac-4480-a794-9888daacbbcd,DP_00019,VER_TITLE_000900_001,HD,Atmos,Dolby Vision,MP4,6,False
a7f7bc9b-c4ae-4952-b2cd-16c932783d45,DP_00020,VER_TITLE_001243_000,4K,Atmos,Dolby Vision,MXF,20,False
7f4320f6-9834-4c35-902d-e609765c28a0,DP_00020,VER_TITLE_002399_004,HD,7.1,Dolby Vision,MP4,46,False
bb99eab4-7e82-45dc-9f67-a91ea3769de5,DP_00020,VER_TITLE_002183_002,8K,5.1,SDR,MXF,45,True
58323939-f25a-4422-8a45-adeedd7b3f9e,DP_00020,VER_TITLE_000482_001,HD,Atmos,SDR,MP4,11,True
9f544e1f-c659-4030-9895-3d46fc9ba471,DP_00020,VER_TITLE_004321_003,4K,7.1,SDR,MXF,42,False
5ea75b7a-2ae9-431d-a3bf-f40ae1f41bf1,DP_00020,VER_TITLE_003317_002,4K,7.1,SDR,MXF,14,False
078a56db-8a6e-442a-960f-0ce269e5c360,DP_00021,VER_TITLE_004180_004,4K,5.1,HDR10+,MXF,42,False
938ae5ca-4535-420f-bc56-78aac3c2df90,DP_00021,VER_TITLE_001789_001,8K,Atmos,HDR10+,IMF,32,True
50003578-36dd-4411-b148-a2f246f211f0,DP_00021,VER_TITLE_002459_001,HD,7.1,SDR,MXF,50,False
31b2493c-11dc-4bd2-a250-868448a47369,DP_00021,VER_TITLE_000906_002,4K,7.1,HDR10+,IMF,21,False
b84b84f4-2465-457b-af40-9853fca11ca5,DP_00021,VER_TITLE_003632_001,8K,Atmos,SDR,MXF,11,True
08684fe7-9c03-4eb8-885a-5de9404017ff,DP_00021,VER_TITLE_000534_003,8K,5.1,HDR10+,MKV,44,True
b0c6dcde-3b4d-45b0-a720-f950dd97df69,DP_00022,VER_TITLE_002467_004,HD,5.1,HDR10+,MXF,39,False
96c2ea58-55e4-4aee-92d9-7dde3ddbbdd8,DP_00022,VER_TITLE_001453_004,4K,Atmos,HDR10,MXF,50,False
95727a2f-7779-4d79-9086-d791b10d1deb,DP_00022,VER_TITLE_004874_001,4K,5.1,SDR,IMF,35,False
a789eb5b-ba3a-450e-97d7-b1958e41143e,DP_00022,VER_TITLE_002510_001,4K,5.1,SDR,MXF,15,True
7b03757b-c0a1-46df-8a80-aa7fe73c4574,DP_00022,VER_TITLE_004874_004,8K,2.0,HDR10+,MXF,24,False
0dbdac96-4b86-4589-b254-a38275c75036,DP_00023,VER_TITLE_001814_002,4K,2.0,Dolby Vision,MP4,14,False
37b49275-e798-4f53-93db-1b8178b6fde7,DP_00023,VER_TITLE_001409_004,4K,5.1,HDR10+,IMF,45,False
c27fe047-4a03-4681-b0df-ceeee745e6b5,DP_00024,VER_TITLE_004840_002,8K,Atmos,HDR10,MXF,34,False
126c0a08-b1c8-4ad7-9f56-ad4039607947,DP_00024,VER_TITLE_002025_001,HD,5.1,SDR,IMF,11,True
2a7eb761-4af3-48ad-bc06-c980bcfb24aa,DP_00025,VER_TITLE_002729_000,8K,2.0,HDR10,IMF,25,False
30086209-7526-48a1-b856-ff7d9456579f,DP_00025,VER_TITLE_004274_004,8K,2.0,Dolby Vision,MP4,46,True
f851815e-4312-4b37-8278-33deed1f3556,DP_00025,VER_TITLE_001344_000,8K,Atmos,HDR10+,IMF,35,True
f21c2bd9-371c-48f1-b86e-d12e7422314a,DP_00025,VER_TITLE_003603_004,8K,Atmos,SDR,MP4,45,True
9eef2c67-3ecb-4883-97fe-5e46d6e05b53,DP_00025,VER_TITLE_001802_001,HD,Atmos,SDR,MP4,11,True
e1c87b87-8313-450c-badc-f0c6f0c3fec8,DP_00025,VER_TITLE_001191_002,4K,2.0,HDR10,MP4,44,False
b0968728-4e8d-4455-9e82-547b04eaf793,DP_00026,VER_TITLE_003378_001,4K,Atmos,HDR10+,MXF,22,True
476edb45-c5c4-41f7-850f-62053dccaafa,DP_00026,VER_TITLE_004714_000,HD,2.0,HDR10,IMF,27,True
02b0faec-96c4-4fa5-bf45-1469b2c50a40,DP_00026,VER_TITLE_001741_002,4K,Atmos,Dolby Vision,IMF,50,True
158cdef2-b686-49a3-98b4-23ddfaebed0a,DP_00026,VER_TITLE_003681_002,HD,7.1,Dolby Vision,MXF,48,True
8787fba8-ec17-4c56-a9b0-563b2c61de83,DP_00026,VER_TITLE_003820_004,HD,2.0,Dolby Vision,MP4,16,True
1d6c0f44-72f0-4866-b61c-b45ba3dc118b,DP_00026,VER_TITLE_003555_001,HD,5.1,SDR,MP4,47,True
96a6b0e0-5a1d-458c-a20b-103ae45189d5,DP_00027,VER_TITLE_004573_001,4K,Atmos,SDR,IMF,8,False
ce08b7ba-b79e-4ab9-aa7d-77bf08096b46,DP_00027,VER_TITLE_004454_002,HD,5.1,HDR10+,MP4,23,True
ff464bf4-d49b-4b3e-8ec7-2ba43f5ff118,DP_00028,VER_TITLE_002069_002,HD,5.1,Dolby Vision,IMF,26,False
c50a7157-9e14-4ce6-a711-d31d33034c47,DP_00028,VER_TITLE_003327_000,8K,7.1,HDR10+,MP4,47,True
7098e175-e000-485d-9a74-0117951bdd9a,DP_00028,VER_TITLE_003170_004,8K,7.1,Dolby Vision,MKV,11,True
57ca5712-3c49-44b5-8baf-1701d2fdf4f6,DP_00028,VER_TITLE_004345_002,HD,5.1,HDR10+,MXF,21,False
3666abc6-8eda-4abd-ae3e-4917c8270957,DP_00028,VER_TITLE_004771_004,8K,2.0,HDR10,MKV,7,False
ed3c79c4-06c7-49a1-a6f2-f8882c628871,DP_00029,VER_TITLE_002023_001,8K,7.1,HDR10+,MXF,23,True
2ed50850-d480-4bdc-86f2-135d4cad1965,DP_00029,VER_TITLE_003494_002,4K,Atmos,HDR10+,IMF,38,True
2146fccb-ecd0-4b2b-b148-3e69ad762571,DP_00029,VER_TITLE_003400_003,4K,7.1,SDR,MXF,12,False
b2f60a77-209d-435a-984e-52aa1e1b0724,DP_00029,VER_TITLE_002938_003,4K,2.0,Dolby Vision,IMF,5,False
8376e156-1f39-427a-8ff3-e0cc82df4b6a,DP_00029,VER_TITLE_000797_000,8K,Atmos,SDR,MXF,22,False
e647f055-d114-41eb-9b9c-8b334c232ccd,DP_00029,VER_TITLE_001817_003,4K,2.0,Dolby Vision,MKV,39,False
cc4e8647-1f05-4a59-abcf-5332393468ae,DP_00030,VER_TITLE_001978_003,4K,7.1,HDR10,MXF,30,True
90c09a97-9998-468e-b0ed-d0acaa63856c,DP_00030,VER_TITLE_001340_003,8K,7.1,HDR10+,MXF,10,True
a069da7f-5c4e-4edd-8454-755fe5903520,DP_00030,VER_TITLE_000865_004,HD,2.0,Dolby Vision,MXF,15,False
0fcfc661-b003-4edc-9793-40ff2ae53919,DP_00031,VER_TITLE_004679_002,HD,2.0,HDR10+,MKV,11,True
57df410b-016a-4867-a1e9-398c88d9e05b,DP_00031,VER_TITLE_002042_000,HD,2.0,Dolby Vision,MKV,12,True
3fbd5d6d-8a0a-4275-aed2-277d1986afcd,DP_00031,VER_TITLE_003524_003,4K,7.1,Dolby Vision,IMF,27,False
3bdf6e9a-b4dd-4c71-b8ed-3d2baf78d846,DP_00031,VER_TITLE_004788_001,HD,5.1,HDR10,MP4,16,False
a3d41831-0c1f-461f-b623-cdaeda957d09,DP_00031,VER_TITLE_000668_002,8K,2.0,HDR10,MP4,33,True
a999575c-f118-400c-ae90-194ad7d240fe,DP_00032,VER_TITLE_002613_001,HD,2.0,HDR10,MKV,48,True
59f4b7a3-55d7-434e-b16c-d8c738c9f7fe,DP_00032,VER_TITLE_002007_000,HD,2.0,Dolby Vision,MP4,13,False
68206125-8dda-4fad-b3ef-d09d44ab62b0,DP_00033,VER_TITLE_002412_000,8K,2.0,HDR10,MP4,32,True
332f0286-ca5a-4e20-9c59-d177937c2ac5,DP_00033,VER_TITLE_001387_003,8K,2.0,SDR,MKV,18,False
df1f59a4-98c3-4014-afe4-f10792717771,DP_00033,VER_TITLE_004808_000,HD,5.1,Dolby Vision,MP4,27,False
543c6241-0829-46d1-9617-3e5bb7e9f1b6,DP_00033,VER_TITLE_004395_002,4K,2.0,HDR10+,MXF,20,False
f8bcd1d1-736b-4a84-8ea4-660fcd45aba6,DP_00034,VER_TITLE_003796_000,4K,2.0,HDR10,MXF,29,False
a1c76783-2227-4b1c-bf7f-c8a9e7196a42,DP_00034,VER_TITLE_003867_003,4K,5.1,Dolby Vision,MXF,37,True
6960f6da-e1c5-4579-be82-b4b5481bc8a2,DP_00034,VER_TITLE_000911_001,HD,7.1,Dolby Vision,MP4,9,True
ae0bcff2-e5fa-49fe-8aaa-7c034eb50587,DP_00035,VER_TITLE_004882_004,HD,Atmos,SDR,MP4,17,True
e4979cc2-8e27-4749-a89c-9c1ce8e6d43e,DP_00035,VER_TITLE_002168_001,8K,5.1,Dolby Vision,IMF,16,True
a56bfa5e-6f82-4364-ae67-4f61ecd3a7f1,DP_00035,VER_TITLE_003765_002,8K,2.0,Dolby Vision,MKV,45,True
8b779dbc-9083-419f-bebe-1d45aa88f8f9,DP_00035,VER_TITLE_004793_001,8K,Atmos,HDR10+,IMF,45,True
44ec55d3-77b6-403c-8209-bd73729779c4,DP_00035,VER_TITLE_001815_002,8K,2.0,Dolby Vision,MXF,41,False
98941f1e-c905-439e-98b5-98dc9655adde,DP_00036,VER_TITLE_004390_000,4K,2.0,HDR10,MP4,46,True
7d863f3c-2f61-48a8-aeb7-3e09a1a8e9a6,DP_00036,VER_TITLE_001496_002,4K,Atmos,HDR10,MXF,45,False
3df0c573-50e0-4ea9-b996-486c9020afdd,DP_00036,VER_TITLE_004824_004,HD,Atmos,HDR10+,MKV,17,True
b7e6e4ac-6f8a-4c1b-9723-e7fcf2124bde,DP_00036,VER_TITLE_003425_001,8K,2.0,SDR,IMF,6,False
9fcc6c7d-30dc-46b2-bed8-69cfda8f58f7,DP_00037,VER_TITLE_002415_000,4K,2.0,HDR10,MKV,14,True
9bece90c-4e8a-4954-b9d4-8d929bc68dcd,DP_00037,VER_TITLE_002813_002,HD,Atmos,Dolby Vision,MXF,16,False
a18d7596-8eed-45e5-b5d4-48777c187a89,DP_00037,VER_TITLE_004573_000,HD,2.0,HDR10,MXF,29,False
e767326c-4986-4f9c-b141-8aa21e2f1ebd,DP_00037,VER_TITLE_003137_002,HD,5.1,Dolby Vision,MKV,17,False
f46f45ec-8e97-468c-b9a8-bdbe895c9503,DP_00037,VER_TITLE_004042_001,HD,2.0,SDR,IMF,25,True
651325b8-5a5e-4e9a-b2b0-55788f40e50f,DP_00038,VER_TITLE_004524_000,4K,2.0,SDR,IMF,27,False
40fd3253-a9ad-4af4-a90c-4947c6e7a0a6,DP_00038,VER_TITLE_002416_001,4K,5.1,HDR10,MP4,36,False
72ac5f62-1ede-41a2-8303-eeccedc00ff8,DP_00038,VER_TITLE_003596_001,HD,2.0,SDR,MKV,21,False
74bc822b-dad5-475f-9e67-bae30a572dcb,DP_00038,VER_TITLE_003858_003,4K,7.1,HDR10+,IMF,5,False
9bb73dea-2e07-4857-92b5-ea07f177f4a1,DP_00038,VER_TITLE_001212_000,HD,5.1,SDR,MP4,24,False
de62a181-dd60-46c5-af7c-bcfa79da9fe0,DP_00039,VER_TITLE_002494_004,4K,Atmos,HDR10+,IMF,16,False
5affa3dc-8e86-4825-97b0-c7b3dc4ef685,DP_00039,VER_TITLE_004515_002,HD,7.1,SDR,MKV,21,False
62ff7008-fc0c-4a43-8ee0-96fd25fe7c6a,DP_00040,VER_TITLE_004371_000,HD,Atmos,HDR10,MKV,26,False
6b11b566-3302-432a-a4c9-839cb4703a1c,DP_00040,VER_TITLE_003213_000,HD,2.0,HDR10+,MXF,8,True
432d5232-d891-44d5-85dc-dc8ff3bb9f1b,DP_00040,VER_TITLE_002736_000,4K,5.1,Dolby Vision,MXF,33,False
5e4febff-c68c-4efc-b396-a571d320e546,DP_00041,VER_TITLE_000919_004,HD,Atmos,HDR10,MP4,7,True
2e167f77-2563-4b3b-83cf-a0b3fcbe3108,DP_00041,VER_TITLE_001198_002,8K,Atmos,HDR10,MXF,40,True
5fba9335-03a4-4622-b5dd-708a7615923e,DP_00042,VER_TITLE_004405_001,8K,7.1,SDR,MKV,7,True
edefffd8-5296-4e10-b7a2-869fdfc4fe52,DP_00042,VER_TITLE_003779_000,4K,2.0,HDR10,MXF,32,True
9b5e448a-d70e-4c76-9472-9455ce401f8c,DP_00042,VER_TITLE_004883_002,HD,Atmos,SDR,MXF,49,False
9541c948-1ce9-4960-a989-bde4faec1f38,DP_00042,VER_TITLE_004554_001,4K,Atmos,Dolby Vision,IMF,47,False
c4f33967-5f6d-48cb-a6bb-e5ef47f7a689,DP_00042,VER_TITLE_003921_000,HD,2.0,SDR,MXF,21,True
03b9cee1-1905-4475-b7ee-47c497c04205,DP_00043,VER_TITLE_001555_003,4K,5.1,SDR,MXF,44,True
b16af40e-94af-4497-978a-68bf9726f06c,DP_00043,VER_TITLE_000700_001,HD,5.1,HDR10,MP4,9,True
c07990b5-422d-4b10-9d59-126aa7432296,DP_00043,VER_TITLE_003665_002,8K,Atmos,Dolby Vision,MKV,20,False
69691517-8227-47d5-8577-da8791f69f7a,DP_00043,VER_TITLE_000260_004,8K,7.1,HDR10,IMF,26,False
404c5563-b468-4a9b-8b63-51d53c35a15e,DP_00043,VER_TITLE_003717_000,8K,Atmos,Dolby Vision,MKV,35,False
851a0fe1-3850-45f2-8cbd-c33e0f0bbae7,DP_00043,VER_TITLE_003581_000,HD,2.0,HDR10,IMF,42,False
b00a0684-b613-4212-8079-8749af7f26b3,DP_00044,VER_TITLE_000695_004,HD,Atmos,SDR,MKV,39,False
1c27f0a4-a9c0-483e-a16d-767f5129a2bc,DP_00044,VER_TITLE_001923_004,4K,2.0,HDR10,IMF,7,True
918650ee-6a25-485d-b862-cc0572881a19,DP_00044,VER_TITLE_002682_000,8K,7.1,Dolby Vision,MXF,43,True
cce7cbbf-d7c2-450a-8ad3-5bd14e8e6107,DP_00045,VER_TITLE_001333_001,8K,Atmos,HDR10+,MP4,42,True
3575424b-c1d1-4e44-ad4f-df714823372d,DP_00045,VER_TITLE_004914_004,HD,2.0,HDR10+,MP4,42,False
cda214ee-78ad-4235-9670-3497d3dd17b5,DP_00045,VER_TITLE_003830_000,HD,7.1,HDR10,MXF,5,True
ee88c2e9-9b9c-4753-9e31-7bbf65a1e242,DP_00045,VER_TITLE_000774_004,HD,5.1,Dolby Vision,IMF,34,True
36d42f8a-5155-4126-96c7-dae3748f1a15,DP_00045,VER_TITLE_002332_000,4K,7.1,SDR,MP4,23,False
09405746-b3f2-4a1e-8960-17a58bed8b99,DP_00046,VER_TITLE_000255_000,8K,Atmos,SDR,MP4,29,False
5ef609bc-ece2-4f28-a2c0-c6541b217333,DP_00046,VER_TITLE_000176_000,8K,7.1,Dolby Vision,IMF,15,True
e2f36758-94ad-434c-ba36-f57b2b845665,DP_00047,VER_TITLE_000937_002,8K,5.1,HDR10,MP4,21,True
94b24e33-b104-42ec-95a7-8d3711406aa9,DP_00047,VER_TITLE_001889_003,8K,Atmos,Dolby Vision,MKV,41,False
e8fc36e6-62fb-45dc-aaf8-69a1a35fb395,DP_00047,VER_TITLE_001945_000,4K,5.1,HDR10,MKV,48,True
d54bcd1f-feeb-4568-a1d3-dd95a8a561ac,DP_00047,VER_TITLE_002204_003,8K,2.0,HDR10+,MP4,20,True
354f9680-7d09-48b1-8b72-5ac618e41adc,DP_00047,VER_TITLE_000328_002,4K,2.0,HDR10+,MKV,48,False
33fdd5ff-8edf-4685-87ba-23d6a76b3f65,DP_00047,VER_TITLE_002826_003,8K,2.0,Dolby Vision,MKV,28,True
7e3b715f-9431-4556-8813-ea92f664dbbd,DP_00048,VER_TITLE_004293_001,8K,5.1,Dolby Vision,IMF,24,True
cf054b3a-d288-4f78-b5ed-55d802ad2e29,DP_00048,VER_TITLE_003516_000,8K,Atmos,Dolby Vision,MP4,31,True
bfc97715-0744-4c02-8442-fa607e57b3b9,DP_00048,VER_TITLE_002474_001,4K,7.1,HDR10+,IMF,41,False
5aafcc6c-69a0-451b-b6ae-f6668d0d4727,DP_00049,VER_TITLE_002454_002,HD,5.1,HDR10,MKV,23,False
27629b44-6976-4597-965e-110c7f10e9f3,DP_00049,VER_TITLE_001106_003,HD,7.1,SDR,IMF,21,False
bb53a57a-d484-41c7-bc36-37f1d39a8755,DP_00050,VER_TITLE_001674_002,HD,2.0,Dolby Vision,MXF,40,True
f27feade-0a06-4ab1-b9f9-b19d8ac4acf9,DP_00050,VER_TITLE_003910_000,4K,7.1,Dolby Vision,MP4,25,False
f2c0e975-0627-4a05-84e6-2198061ad1fa,DP_00050,VER_TITLE_004600_002,4K,2.0,HDR10,IMF,36,False
25fc059e-cfb9-44ea-872c-848692581191,DP_00050,VER_TITLE_004835_000,8K,Atmos,HDR10+,MKV,5,False
5ac70662-c0a1-4e60-bb7b-68838707705c,DP_00051,VER_TITLE_004633_000,8K,Atmos,HDR10+,MKV,23,True
35c2b434-eb77-42fa-8a0f-7ac9dace8b72,DP_00051,VER_TITLE_002975_003,HD,Atmos,Dolby Vision,MP4,47,False
a601db58-a34c-47c3-bafb-a9642196c619,DP_00051,VER_TITLE_000662_000,8K,Atmos,SDR,MP4,19,True
b5585573-f69d-4f7c-a3d8-ac8fd6181d58,DP_00052,VER_TITLE_000930_000,HD,2.0,HDR10+,MP4,50,False
ddda11d6-199c-4bab-9908-3a15f3245e1c,DP_00052,VER_TITLE_001281_002,HD,5.1,HDR10,MXF,50,False
