version_id,title_id,version_type,resolution,frame_rate,audio_channels,hdr_format,file_size_gb,is_localized,created_date
VER_TITLE_000017_000,TITLE_000017,Edited,4K,50,5.1,Dolby Vision,89.17,False,2026-02-10 22:32:41.943821
VER_TITLE_000018_000,TITLE_000018,Original,HD,25,5.1,HDR10,438.4,True,2026-02-06 22:32:41.943851
VER_TITLE_000018_001,TITLE_000018,Edited,HD,23.976,7.1,HDR10,325.86,True,2025-12-29 22:32:41.943857
VER_TITLE_000018_002,TITLE_000018,Localized,8K,50,7.1,HDR10+,498.42,True,2026-04-10 22:32:41.943862
VER_TITLE_000018_003,TITLE_000018,Localized,HD,29.97,2.0,SDR,308.37,False,2025-11-09 22:32:41.943867
VER_TITLE_000018_004,TITLE_000018,Remastered,8K,50,Atmos,HDR10+,19.16,False,2025-06-02 22:32:41.943872
VER_TITLE_000019_000,TITLE_000019,Edited,4K,23.976,Atmos,None,172.61,False,2025-06-17 22:32:41.943900
VER_TITLE_000019_001,TITLE_000019,Remastered,4K,24,5.1,HDR10,267.37,True,2025-08-25 22:32:41.943907
VER_TITLE_000019_002,TITLE_000019,Localized,8K,50,7.1,None,351.57,True,2025-11-19 22:32:41.943912
VER_TITLE_000020_000,TITLE_000020,Edited,HD,25,7.1,SDR,323.28,True,2025-06-05 22:32:41.943940
VER_TITLE_000020_001,TITLE_000020,Localized,HD,30,Atmos,None,151.09,True,2026-03-25 22:32:41.943946
VER_TITLE_000020_002,TITLE_000020,Localized,4K,23.976,Atmos,HDR10+,291.09,False,2025-07-27 22:32:41.943951
VER_TITLE_000020_003,TITLE_000020,Edited,HD,25,7.1,HDR10,486.2,True,2025-07-21 22:32:41.943956
VER_TITLE_000020_004,TITLE_000020,Original,HD,23.976,2.0,None,274.9,True,2026-03-03 22:32:41.943961
VER_TITLE_000021_000,TITLE_000021,Remastered,8K,24,2.0,None,447.35,False,2026-05-19 22:32:41.943990
VER_TITLE_000022_000,TITLE_000022,Edited,HD,50,2.0,None,135.03,False,2026-03-17 22:32:41.944020
VER_TITLE_000022_001,TITLE_000022,Localized,HD,60,7.1,Dolby Vision,377.19,True,2025-11-14 22:32:41.944026
VER_TITLE_000023_000,TITLE_000023,Localized,4K,23.976,7.1,Dolby Vision,471.85,True,2025-08-26 22:32:41.944055
VER_TITLE_000023_001,TITLE_000023,Original,HD,29.97,5.1,HDR10,286.17,False,2025-12-16 22:32:41.944061
VER_TITLE_000023_002,TITLE_000023,Edited,HD,30,2.0,None,42.23,True,2025-06-10 22:32:41.944066
VER_TITLE_000023_003,TITLE_000023,Edited,4K,23.976,2.0,HDR10,339.29,False,2025-12-05 22:32:41.944071
VER_TITLE_000023_004,TITLE_000023,Remastered,4K,23.976,5.1,SDR,176.48,True,2025-09-16 22:32:41.944076
VER_TITLE_000023_005,TITLE_000023,Original,HD,60,Atmos,HDR10,441.63,False,2025-05-23 22:32:41.944081
VER_TITLE_000024_000,TITLE_000024,Remastered,8K,25,7.1,None,485.33,False,2026-03-17 22:32:41.944111
VER_TITLE_000024_001,TITLE_000024,Localized,8K,25,5.1,Dolby Vision,304.5,False,2025-07-14 22:32:41.944117
VER_TITLE_000024_002,TITLE_000024,Localized,HD,25,Atmos,HDR10+,148.46,True,2025-12-06 22:32:41.944122
VER_TITLE_000025_000,TITLE_000025,Remastered,4K,29.97,2.0,HDR10,31.76,False,2025-11-15 22:32:41.944150
VER_TITLE_000026_000,TITLE_000026,Localized,8K,25,7.1,None,314.4,True,2026-04-28 22:32:41.944178
VER_TITLE_000026_001,TITLE_000026,Edited,8K,23.976,Atmos,HDR10,78.02,False,2025-09-07 22:32:41.944184
VER_TITLE_000026_002,TITLE_000026,Localized,HD,23.976,5.1,Dolby Vision,491.61,True,2025-07-30 22:32:41.944189
VER_TITLE_000027_000,TITLE_000027,Original,HD,25,Atmos,HDR10,430.56,True,2026-04-06 22:32:41.944215
VER_TITLE_000027_001,TITLE_000027,Original,8K,25,5.1,HDR10,286.59,False,2025-06-06 22:32:41.944220
VER_TITLE_000027_002,TITLE_000027,Remastered,HD,24,7.1,Dolby Vision,120.99,True,2026-03-25 22:32:41.944225
VER_TITLE_000027_003,TITLE_000027,Remastered,4K,24,5.1,None,346.99,True,2026-02-16 22:32:41.944273
VER_TITLE_000028_000,TITLE_000028,Localized,8K,25,Atmos,None,448.75,True,2025-08-27 22:32:41.944316
VER_TITLE_000029_000,TITLE_000029,Remastered,8K,23.976,5.1,HDR10+,226.89,False,2025-12-26 22:32:41.944348
VER_TITLE_000029_001,TITLE_000029,Remastered,4K,30,5.1,SDR,362.39,True,2025-11-27 22:32:41.944355
VER_TITLE_000030_000,TITLE_000030,Localized,8K,23.976,7.1,None,188.75,True,2025-09-07 22:32:41.944385
VER_TITLE_000030_001,TITLE_000030,Localized,HD,60,7.1,HDR10+,166.9,True,2026-05-03 22:32:41.944391
VER_TITLE_000030_002,TITLE_000030,Localized,HD,29.97,7.1,HDR10+,126.03,True,2026-05-19 22:32:41.944396
VER_TITLE_000030_003,TITLE_000030,Remastered,4K,60,7.1,SDR,80.48,True,2025-05-24 22:32:41.944401
VER_TITLE_000030_004,TITLE_000030,Localized,8K,23.976,Atmos,Dolby Vision,480.95,False,2025-07-02 22:32:41.944406
VER_TITLE_000031_000,TITLE_000031,Original,HD,30,Atmos,Dolby Vision,418.38,True,2026-04-08 22:32:41.944435
VER_TITLE_000031_001,TITLE_000031,Localized,8K,29.97,2.0,HDR10+,278.72,True,2025-06-09 22:32:41.944441
VER_TITLE_000031_002,TITLE_000031,Remastered,HD,25,5.1,SDR,247.56,True,2026-04-04 22:32:41.944446
VER_TITLE_000032_000,TITLE_000032,Localized,HD,24,5.1,Dolby Vision,104.45,True,2025-06-25 22:32:41.944475
VER_TITLE_000032_001,TITLE_000032,Localized,HD,30,5.1,SDR,111.77,False,2026-03-03 22:32:41.944480
VER_TITLE_000033_000,TITLE_000033,Original,8K,25,Atmos,SDR,301.53,False,2026-03-25 22:32:41.944512
VER_TITLE_000033_001,TITLE_000033,Remastered,4K,29.97,2.0,Dolby Vision,18.23,True,2026-03-18 22:32:41.944520
VER_TITLE_000033_002,TITLE_000033,Edited,HD,60,5.1,HDR10,242.16,False,2026-04-10 22:32:41.944526
VER_TITLE_000033_003,TITLE_000033,Original,8K,30,7.1,None,59.27,True,2025-09-06 22:32:41.944531
VER_TITLE_000033_004,TITLE_000033,Localized,4K,23.976,2.0,HDR10+,382.49,True,2025-10-27 22:32:41.944537
VER_TITLE_000033_005,TITLE_000033,Localized,8K,23.976,7.1,HDR10+,58.85,True,2025-07-05 22:32:41.944541
VER_TITLE_000034_000,TITLE_000034,Remastered,HD,23.976,Atmos,SDR,356.24,True,2025-08-10 22:32:41.944573
VER_TITLE_000034_001,TITLE_000034,Localized,4K,50,7.1,None,495.18,True,2025-12-27 22:32:41.944579
VER_TITLE_000034_002,TITLE_000034,Remastered,HD,25,2.0,Dolby Vision,87.5,False,2025-09-23 22:32:41.944584
VER_TITLE_000034_003,TITLE_000034,Localized,8K,29.97,2.0,HDR10+,24.31,False,2025-10-12 22:32:41.944588
VER_TITLE_000034_004,TITLE_000034,Localized,4K,29.97,2.0,HDR10+,141.13,False,2025-06-13 22:32:41.944593
VER_TITLE_000035_000,TITLE_000035,Original,8K,24,Atmos,None,83.96,True,2025-07-22 22:32:41.944623
VER_TITLE_000036_000,TITLE_000036,Original,HD,24,5.1,None,218.08,False,2026-01-07 22:32:41.944651
VER_TITLE_000036_001,TITLE_000036,Localized,HD,30,2.0,Dolby Vision,242.58,True,2026-03-17 22:32:41.944657
VER_TITLE_000036_002,TITLE_000036,Remastered,8K,50,2.0,HDR10+,337.73,False,2026-03-01 22:32:41.944662
VER_TITLE_000037_000,TITLE_000037,Original,8K,25,Atmos,HDR10+,376.28,True,2025-07-01 22:32:41.944691
VER_TITLE_000037_001,TITLE_000037,Edited,4K,25,2.0,HDR10,193.19,True,2026-01-30 22:32:41.944697
VER_TITLE_000037_002,TITLE_000037,Edited,8K,25,2.0,HDR10,37.87,False,2025-09-04 22:32:41.944702
VER_TITLE_000038_000,TITLE_000038,Remastered,HD,30,2.0,HDR10+,116.98,True,2025-11-03 22:32:41.944730
VER_TITLE_000038_001,TITLE_000038,Remastered,HD,50,5.1,HDR10,229.39,False,2025-09-06 22:32:41.944736
VER_TITLE_000038_002,TITLE_000038,Edited,HD,24,5.1,HDR10,21.96,False,2025-12-29 22:32:41.944745
VER_TITLE_000038_003,TITLE_000038,Edited,8K,23.976,5.1,SDR,273.27,True,2026-03-21 22:32:41.944751
VER_TITLE_000038_004,TITLE_000038,Remastered,8K,29.97,Atmos,None,73.82,True,2026-05-01 22:32:41.944756
VER_TITLE_000038_005,TITLE_000038,Edited,HD,30,7.1,HDR10,109.11,True,2025-06-04 22:32:41.944762
VER_TITLE_000039_000,TITLE_000039,Localized,8K,29.97,5.1,Dolby Vision,435.77,True,2025-06-21 22:32:41.944792
VER_TITLE_000039_001,TITLE_000039,Remastered,8K,24,Atmos,HDR10,393.87,True,2025-11-22 22:32:41.944797
VER_TITLE_000040_000,TITLE_000040,Original,HD,60,Atmos,HDR10+,148.03,True,2025-08-28 22:32:41.944826
VER_TITLE_000040_001,TITLE_000040,Original,4K,24,2.0,None,382.94,True,2026-05-22 22:32:41.944831
VER_TITLE_000040_002,TITLE_000040,Localized,4K,23.976,2.0,SDR,397.55,True,2026-05-02 22:32:41.944836
VER_TITLE_000041_000,TITLE_000041,Localized,8K,23.976,2.0,HDR10,415.82,False,2025-10-23 22:32:41.944864
VER_TITLE_000041_001,TITLE_000041,Remastered,8K,50,5.1,HDR10,358.02,True,2026-05-15 22:32:41.944869
VER_TITLE_000041_002,TITLE_000041,Remastered,HD,23.976,Atmos,SDR,390.25,True,2025-06-18 22:32:41.944874
VER_TITLE_000041_003,TITLE_000041,Edited,HD,50,2.0,SDR,283.3,True,2025-05-29 22:32:41.944880
VER_TITLE_000041_004,TITLE_000041,Localized,HD,29.97,2.0,HDR10+,398.14,False,2025-10-14 22:32:41.944885
VER_TITLE_000041_005,TITLE_000041,Remastered,4K,24,2.0,Dolby Vision,331.31,False,2026-01-27 22:32:41.944890
VER_TITLE_000042_000,TITLE_000042,Original,4K,24,5.1,SDR,36.73,False,2025-07-13 22:32:41.944919
VER_TITLE_000042_001,TITLE_000042,Localized,HD,50,7.1,HDR10+,127.91,False,2025-05-26 22:32:41.944924
VER_TITLE_000042_002,TITLE_000042,Localized,4K,23.976,2.0,Dolby Vision,80.24,False,2026-04-11 22:32:41.944930
VER_TITLE_000042_003,TITLE_000042,Remastered,4K,50,Atmos,HDR10+,227.51,True,2025-12-13 22:32:41.944935
VER_TITLE_000043_000,TITLE_000043,Original,4K,60,7.1,SDR,188.18,True,2025-09-30 22:32:41.944963
VER_TITLE_000043_001,TITLE_000043,Localized,HD,25,Atmos,HDR10,383.12,True,2025-07-23 22:32:41.944970
VER_TITLE_000043_002,TITLE_000043,Edited,HD,30,2.0,Dolby Vision,79.15,False,2025-08-23 22:32:41.944974
VER_TITLE_000043_003,TITLE_000043,Remastered,8K,24,5.1,HDR10,417.22,False,2026-05-17 22:32:41.944979
VER_TITLE_000043_004,TITLE_000043,Edited,8K,60,Atmos,HDR10+,146.63,True,2025-07-30 22:32:41.944984
VER_TITLE_000044_000,TITLE_000044,Remastered,HD,23.976,5.1,Dolby Vision,44.06,True,2025-10-27 22:32:41.945013
VER_TITLE_000044_001,TITLE_000044,Original,4K,23.976,Atmos,SDR,156.11,False,2025-09-02 22:32:41.945019
VER_TITLE_000044_002,TITLE_000044,Remastered,4K,25,2.0,None,486.79,True,2026-01-21 22:32:41.945024
VER_TITLE_000044_003,TITLE_000044,Remastered,4K,24,2.0,HDR10,452.68,False,2025-11-01 22:32:41.945029
VER_TITLE_000044_004,TITLE_000044,Localized,4K,24,Atmos,SDR,385.2,True,2026-02-22 22:32:41.945034
VER_TITLE_000045_000,TITLE_000045,Edited,4K,23.976,5.1,HDR10+,106.22,True,2025-05-26 22:32:41.945062
VER_TITLE_000045_001,TITLE_000045,Original,8K,25,Atmos,None,263.55,True,2025-10-25 22:32:41.945068
VER_TITLE_000045_002,TITLE_000045,Original,HD,60,7.1,HDR10,331.2,True,2025-11-23 22:32:41.945073
VER_TITLE_000046_000,TITLE_000046,Edited,4K,25,5.1,None,322.54,True,2026-03-18 22:32:41.945101
VER_TITLE_000047_000,TITLE_000047,Original,4K,30,2.0,Dolby Vision,277.11,False,2026-04-11 22:32:41.945128
VER_TITLE_000047_001,TITLE_000047,Remastered,8K,30,7.1,None,211.56,False,2025-09-03 22:32:41.945134
VER_TITLE_000047_002,TITLE_000047,Original,8K,25,5.1,Dolby Vision,220.64,False,2026-04-18 22:32:41.945139
VER_TITLE_000047_003,TITLE_000047,Localized,HD,23.976,Atmos,SDR,297.24,False,2025-10-30 22:32:41.945143
VER_TITLE_000048_000,TITLE_000048,Localized,8K,24,Atmos,Dolby Vision,108.75,True,2026-04-12 22:32:41.945169
VER_TITLE_000048_001,TITLE_000048,Remastered,8K,23.976,Atmos,None,331.23,True,2025-07-20 22:32:41.945175
VER_TITLE_000048_002,TITLE_000048,Edited,4K,24,2.0,HDR10,184.1,True,2025-06-27 22:32:41.945180
VER_TITLE_000048_003,TITLE_000048,Edited,HD,23.976,7.1,SDR,237.53,True,2025-07-09 22:32:41.945185
VER_TITLE_000048_004,TITLE_000048,Localized,4K,29.97,2.0,HDR10+,252.97,True,2025-08-08 22:32:41.945190
VER_TITLE_000048_005,TITLE_000048,Localized,HD,24,7.1,HDR10+,205.84,True,2025-06-02 22:32:41.945194
VER_TITLE_000049_000,TITLE_000049,Localized,8K,30,2.0,HDR10,65.53,True,2025-05-25 22:32:41.945223
VER_TITLE_000049_001,TITLE_000049,Edited,8K,60,2.0,None,489.02,False,2025-07-11 22:32:41.945229
VER_TITLE_000049_002,TITLE_000049,Localized,4K,50,Atmos,None,110.46,False,2025-09-23 22:32:41.945233
VER_TITLE_000049_003,TITLE_000049,Remastered,8K,60,5.1,HDR10,326.29,False,2026-03-06 22:32:41.945239
VER_TITLE_000050_000,TITLE_000050,Edited,HD,50,5.1,Dolby Vision,373.09,False,2026-04-06 22:32:41.945266
VER_TITLE_000051_000,TITLE_000051,Localized,8K,60,5.1,HDR10,40.24,True,2026-01-17 22:32:41.945294
VER_TITLE_000051_001,TITLE_000051,Original,8K,29.97,5.1,Dolby Vision,45.73,False,2025-09-26 22:32:41.945300
VER_TITLE_000051_002,TITLE_000051,Edited,8K,29.97,Atmos,SDR,185.27,True,2025-08-18 22:32:41.945306
VER_TITLE_000051_003,TITLE_000051,Original,HD,30,7.1,HDR10+,408.59,True,2025-11-05 22:32:41.945312
VER_TITLE_000051_004,TITLE_000051,Localized,HD,60,Atmos,SDR,399.97,True,2026-01-27 22:32:41.945317
VER_TITLE_000051_005,TITLE_000051,Remastered,HD,24,2.0,None,254.18,False,2025-09-25 22:32:41.945321
VER_TITLE_000052_000,TITLE_000052,Remastered,8K,24,Atmos,None,109.06,False,2026-03-02 22:32:41.945351
VER_TITLE_000052_001,TITLE_000052,Edited,8K,60,7.1,Dolby Vision,446.86,True,2025-10-28 22:32:41.945357
VER_TITLE_000052_002,TITLE_000052,Edited,8K,25,Atmos,None,398.6,True,2025-08-03 22:32:41.945362
VER_TITLE_000052_003,TITLE_000052,Original,HD,23.976,Atmos,None,186.74,True,2026-05-02 22:32:41.945367
VER_TITLE_000052_004,TITLE_000052,Original,HD,60,Atmos,HDR10,401.33,False,2025-11-16 22:32:41.945372
VER_TITLE_000052_005,TITLE_000052,Localized,4K,30,5.1,None,140.48,True,2025-11-02 22:32:41.945377
VER_TITLE_000053_000,TITLE_000053,Original,HD,50,2.0,None,163.21,True,2025-10-27 22:32:41.945407
VER_TITLE_000053_001,TITLE_000053,Localized,8K,29.97,7.1,Dolby Vision,212.94,True,2026-03-28 22:32:41.945413
VER_TITLE_000053_002,TITLE_000053,Original,4K,23.976,7.1,HDR10+,425.56,True,2025-12-17 22:32:41.945417
VER_TITLE_000054_000,TITLE_000054,Edited,4K,60,2.0,HDR10+,84.85,False,2025-07-06 22:32:41.945445
VER_TITLE_000054_001,TITLE_000054,Edited,HD,50,5.1,HDR10,217.57,True,2025-09-14 22:32:41.945451
VER_TITLE_000054_002,TITLE_000054,Edited,HD,50,7.1,Dolby Vision,244.07,False,2025-08-24 22:32:41.945456
VER_TITLE_000055_000,TITLE_000055,Remastered,8K,24,Atmos,None,190.42,False,2026-05-19 22:32:41.945484
VER_TITLE_000055_001,TITLE_000055,Localized,8K,50,5.1,HDR10,401.66,True,2025-10-17 22:32:41.945490
VER_TITLE_000056_000,TITLE_000056,Localized,8K,25,7.1,Dolby Vision,103.73,False,2026-02-17 22:32:41.945519
VER_TITLE_000056_001,TITLE_000056,Original,HD,60,5.1,HDR10+,496.84,False,2026-04-28 22:32:41.945525
VER_TITLE_000057_000,TITLE_000057,Original,4K,50,7.1,HDR10+,488.87,True,2026-02-22 22:32:41.945569
VER_TITLE_000058_000,TITLE_000058,Localized,4K,25,5.1,Dolby Vision,430.95,True,2025-07-26 22:32:41.945609
VER_TITLE_000058_001,TITLE_000058,Edited,4K,30,5.1,SDR,262.87,False,2025-06-19 22:32:41.945616
VER_TITLE_000058_002,TITLE_000058,Edited,8K,25,Atmos,None,46.2,True,2025-07-03 22:32:41.945621
VER_TITLE_000058_003,TITLE_000058,Remastered,HD,50,Atmos,HDR10+,389.94,True,2025-11-01 22:32:41.945626
VER_TITLE_000058_004,TITLE_000058,Remastered,8K,24,Atmos,HDR10,453.85,False,2025-11-05 22:32:41.945631
VER_TITLE_000059_000,TITLE_000059,Edited,4K,24,Atmos,SDR,335.3,False,2025-12-16 22:32:41.945662
VER_TITLE_000059_001,TITLE_000059,Edited,HD,60,Atmos,None,297.5,False,2025-08-19 22:32:41.945667
VER_TITLE_000060_000,TITLE_000060,Remastered,8K,30,2.0,SDR,262.09,False,2025-07-15 22:32:41.945697
VER_TITLE_000060_001,TITLE_000060,Edited,8K,29.97,2.0,HDR10,139.84,False,2026-02-08 22:32:41.945703
VER_TITLE_000060_002,TITLE_000060,Original,HD,23.976,7.1,Dolby Vision,230.14,False,2025-11-10 22:32:41.945708
VER_TITLE_000060_003,TITLE_000060,Remastered,8K,25,7.1,HDR10+,76.82,True,2025-12-31 22:32:41.945713
VER_TITLE_000060_004,TITLE_000060,Edited,8K,24,7.1,Dolby Vision,101.52,False,2025-10-04 22:32:41.945718
VER_TITLE_000060_005,TITLE_000060,Original,HD,30,7.1,SDR,469.72,True,2026-04-22 22:32:41.945723
VER_TITLE_000061_000,TITLE_000061,Edited,8K,60,7.1,SDR,224.81,False,2025-10-20 22:32:41.945764
VER_TITLE_000061_001,TITLE_000061,Localized,HD,60,2.0,SDR,453.21,True,2025-12-25 22:32:41.945771
VER_TITLE_000061_002,TITLE_000061,Edited,4K,23.976,5.1,Dolby Vision,189.9,False,2025-06-03 22:32:41.945776
VER_TITLE_000061_003,TITLE_000061,Localized,HD,30,2.0,SDR,309.25,True,2025-07-04 22:32:41.945781
VER_TITLE_000062_000,TITLE_000062,Original,4K,60,7.1,HDR10+,316.2,False,2026-05-07 22:32:41.945814
VER_TITLE_000062_001,TITLE_000062,Localized,4K,29.97,5.1,None,239.84,True,2025-10-22 22:32:41.945820
VER_TITLE_000062_002,TITLE_000062,Original,4K,60,Atmos,None,149.08,False,2025-08-14 22:32:41.945825
VER_TITLE_000062_003,TITLE_000062,Edited,4K,25,Atmos,SDR,102.68,False,2025-11-30 22:32:41.945830
VER_TITLE_000062_004,TITLE_000062,Remastered,HD,50,Atmos,None,187.61,True,2025-12-04 22:32:41.945835
VER_TITLE_000063_000,TITLE_000063,Edited,4K,24,2.0,HDR10,149.89,True,2026-05-11 22:32:41.945864
VER_TITLE_000064_000,TITLE_000064,Original,HD,30,2.0,Dolby Vision,13.03,True,2025-11-11 22:32:41.945896
VER_TITLE_000064_001,TITLE_000064,Remastered,HD,24,7.1,Dolby Vision,134.73,False,2025-08-30 22:32:41.945902
VER_TITLE_000064_002,TITLE_000064,Edited,8K,24,Atmos,HDR10+,304.31,False,2025-12-20 22:32:41.945907
VER_TITLE_000064_003,TITLE_000064,Edited,4K,24,2.0,HDR10,212.9,False,2026-04-24 22:32:41.945912
VER_TITLE_000064_004,TITLE_000064,Localized,8K,30,2.0,None,225.34,False,2025-09-21 22:32:41.945918
VER_TITLE_000065_000,TITLE_000065,Localized,4K,30,7.1,HDR10,155.87,False,2025-08-05 22:32:41.946169
VER_TITLE_000065_001,TITLE_000065,Edited,8K,24,Atmos,None,237.6,False,2026-03-20 22:32:41.946190
VER_TITLE_000065_002,TITLE_000065,Remastered,4K,24,Atmos,HDR10+,260.34,False,2026-02-21 22:32:41.946202
